Epoch,Loss
1,0.22603799541399855
2,0.04705638804918398
3,0.042740335202087525
4,0.042412511923390885
5,0.04091923195949715
6,0.04282485110604245
7,0.04015309426366635
8,0.0401324861589313
9,0.04084918486035388
10,0.03919139374857363
11,0.039085720078614744
12,0.04034821632439676
13,0.05400273276735907
14,0.038222449224280274
15,0.036336746795669846
16,0.03332005593034884
17,0.031144463781105435
18,0.03348722521458631
19,0.02771054285213999
20,0.019235419676355694
21,0.012721569261528835
22,0.007983019514738218
23,0.005587421618300774
24,0.004421514582250181
25,0.0041115384478673704
26,0.004105092517262244
27,0.003804383713387601
28,0.003785377732761528
29,0.003960435921528741
30,0.00333010894119861
31,0.003818299611220541
32,0.0037450107553487887
33,0.003090927028729904
34,0.002793526666684319
35,0.0031140181233596472
36,0.0027399441055224643
37,0.0026688082472664182
38,0.0024627900540666737
39,0.0026309061491780954
40,0.002380576425070024
41,0.0023828697388956284
42,0.0026341013397778506
43,0.0023599314976625306
44,0.002441580128936988
45,0.002247503795724301
46,0.0021092773829719668
47,0.002480273803129144
48,0.0022378035160707677
49,0.0024597777924297943
50,0.0024107431704380915
51,0.0019811481166549997
52,0.002094203894755439
53,0.002093769465674363
54,0.002039572658047647
55,0.001785712843031987
56,0.0019613405507381844
57,0.0016223035105292145
58,0.001548542087497797
59,0.001515384647063911
60,0.001492239118859921
61,0.001481903366410457
62,0.001322206631100372
63,0.001382925568538232
64,0.0013929947162978351
65,0.0014302608526676245
66,0.0013957276102661601
67,0.001343384020678375
68,0.0014657473986280029
69,0.0012714290844640977
70,0.0011896366283864431
71,0.0012535090329245813
72,0.0012259139886895275
73,0.0012566738701223032
74,0.001164551834454355
75,0.001246836664074141
76,0.001096795643968068
77,0.0010884278473658133
78,0.0010065585182651969
79,0.0012180584624571645
80,0.0015262872975258886
81,0.0010883626528084278
82,0.0012629468692466617
83,0.0011384089846852357
84,0.0011053010707457913
85,0.0011900302032818613
86,0.0011002965114565322
87,0.000930724389668878
88,0.0011801981296309311
89,0.0011855870461263492
90,0.001062525924087664
91,0.0009634534748645661
92,0.0009450080637496127
93,0.0012002989103126786
94,0.0020367119419540318
95,0.0011986767918721814
96,0.0012636868901292632
97,0.0010178292261274612
98,0.0010579710892077696
99,0.0011287667376049997
100,0.0009915708341514287
