Epoch,Loss
1,133.13237704870835
2,34.31500286876031
3,6.810030834479901
4,4.261019055198574
5,3.1573358654226147
6,2.6964101180340507
7,2.385014577294296
8,2.0710459850119345
9,1.803452123448534
10,1.625188006732449
11,1.426309476858415
12,1.2932159985011478
13,1.1764461373758015
14,1.0518172285841696
15,0.9557917174303306
16,0.817644550271754
17,0.7289881681871114
18,0.6919292027376732
19,0.5526345370325653
20,0.5084091585668378
21,0.41959160725650546
22,0.3416181285894892
23,0.28213714142827867
24,0.24215760984042156
25,0.19198680999425222
26,0.1493830199839559
27,0.1288749444058294
28,0.11338931909006722
29,0.10376505443603738
30,0.08765910063876109
31,0.08113066394631781
32,0.07277695164845893
33,0.06125972971741883
34,0.05618562308028809
35,0.04699606954489114
36,0.04512927241318818
37,0.04462097340948739
38,0.03765920802962574
39,0.03208853722602691
40,0.03072944461549603
41,0.027281691677540354
42,0.023238680706177867
43,0.021226346605521796
44,0.019051771685656794
45,0.01629483659822002
46,0.015016031482274522
47,0.013190630250815419
48,0.012046772207619634
49,0.01060388782486296
50,0.009620143934563037
51,0.008143624423347038
52,0.007911731362703064
53,0.007422019718009861
54,0.006344161607374865
55,0.005857085933214721
56,0.004414959209561114
57,0.003841216683258894
58,0.0035927820445181883
59,0.0032939357040947855
60,0.0030683223798771463
61,0.003077507053638088
62,0.003064330523568586
63,0.002986396553065136
64,0.0028468115592401757
65,0.002717389010823531
66,0.002687229477264479
67,0.002602501653457711
68,0.00249931853293491
69,0.0027398988941344637
70,0.0024724892359270874
71,0.0024987138836053725
72,0.002302528423427036
73,0.0024231537302872516
74,0.002235235043515088
75,0.002380524921130664
76,0.002278304533079653
77,0.0023842735432744403
78,0.0026650371444748374
79,0.002400591848590177
80,0.0023436848094881622
81,0.0023701088635709267
82,0.0023088755914150686
83,0.002103993900976167
84,0.0021710439769839635
85,0.0022638290408492066
86,0.0022830639207302213
87,0.0021590955385941218
88,0.002149760233108013
89,0.002297156549874494
90,0.0020708301620420257
91,0.0021762691659497025
92,0.0020007217019567935
93,0.002203257104825615
94,0.002068021387149545
95,0.0020654655260995977
96,0.0020969573248385705
97,0.0020516096518569736
98,0.00208530812928784
99,0.0019040899632210145
100,0.0020358995161987195
